objid,ra,dec,u,g,r,i,z,run,camcol,field,score,clean,class,redshift,mjd,rowv,colv,mjd_sequential,month_sin,month_cos,x_cord,y_cord,z_cord,class_GALAXY,class_QUASAR,class_STAR,r_standard,g_standard,mjd_sequential_standard,month_sin_standard,month_cos_standard,x_cord_standard,y_cord_standard,z_cord_standard
1237648705678738089,247.17698,1.056165679,19.41335,18.36554,18.08077,17.98518,17.9643,752,6,692,0.8472691,1,STAR,-0.000339562,52000,0.001098261,0.001671959,392,0.8660254037844387,-0.4999999999999998,-0.3878200372769,-0.9215507911790332,0.018432524619324524,0.0,0.0,1.0,1.175986337682014,1.0539497657432808,-0.5978487527601268,0.44194513800504137,-0.7636920297155072,1.256737641160819,-1.54122851024995,0.4079838150891712
1237646381542998673,95.38906714,0.578667738,19.26527,17.52949,17.07929,16.89643,16.70403,211,5,363,0.8313844,1,STAR,0.000154012,52931,0.001551122,-0.001644898,1323,-0.8660254037844386,0.5000000000000001,-0.09391355410448303,0.9955291280248837,0.010099485604688924,0.0,0.0,1.0,0.22690627973587266,0.1746797464074293,-0.016318300413472844,-3.3295172725489173,0.9341062672914372,2.1777115212843925,2.2673853696283315,0.1673834141540199
1237648702968758386,188.6283121,-1.138641058,18.28056,16.9521,16.42905,16.21359,16.12034,752,1,301,0.8191221,1,STAR,8.088591e-05,54567,-0.001628586,0.001297011,2959,0.8660254037844387,-0.4999999999999998,-0.9884871415712779,-0.14999428455437586,-0.01987172738503813,0.0,0.0,1.0,-0.3893115347775462,-0.4325587159624351,1.005576243130164,0.44194513800504137,-0.7636920297155072,-0.6254893438766507,-0.008396837034505299,-0.6979774522929111
1237648720687792145,166.0834884,-0.607833548,18.80905,18.37338,18.64598,18.83105,19.01808,756,2,336,0.8651989,0,STAR,-0.000104588,51908,0.000502785,-0.002976295,300,-2.4492935982947064e-16,1.0,-0.9705925919606156,0.2404942415260044,-0.010608497726149588,0.0,0.0,1.0,1.7116231347740565,1.0621950584310322,-0.6553147050865417,-1.4437860672719387,1.7830054157949091,-0.5694156819073523,0.7673767785905171,-0.43051959376512056
1237649918428708879,14.60718028,13.65803797,16.82643,15.43794,14.98633,14.71074,14.70645,1035,1,60,0.8371245,0,STAR,-9.11e-05,51821,0.001620755,-0.005480256,213,-0.8660254037844386,0.5000000000000001,0.9403138909969598,0.2450592616717902,0.23612654375786407,0.0,0.0,1.0,-1.7565448107291934,-2.024993968013837,-0.709657507829999,-3.3295172725489173,0.9341062672914372,5.418526261960236,0.7764459879202898,6.693478002014869
1237648704050823409,207.6767934,-0.334604587,19.45241,18.3151,18.36806,18.45432,18.55334,752,3,428,0.914273,1,STAR,-0.000136704,51943,0.00078988,0.001182324,335,0.8660254037844386,0.5000000000000001,-0.8855667274747131,-0.4644754746390503,-0.005839918540188128,0.0,0.0,1.0,1.4482446052932951,1.000902244930771,-0.6334526580058404,0.44194513800504115,0.9341062672914372,-0.3029819527796246,-0.6331686128582809,-0.29283608334134076
1237648675605315758,242.5625403,1.190245117,18.42238,18.22688,18.16234,18.02632,17.98409,745,6,560,0.337776,1,QUASAR,1.92721,51690,0.000203822,0.002797993,82,0.49999999999999994,-0.8660254037844387,-0.460680715295568,-0.8873228241034578,0.020772202093853533,0.0,1.0,0.0,1.2532883909698143,0.9081216682836702,-0.791484026903481,-0.35505864828599676,-1.385129336922007,1.028424265358483,-1.4732286792683666,0.47553748157770354
1237648720163307578,194.490579,-0.982394053,18.26242,17.10448,16.9093,16.86198,16.90508,756,1,525,0.8141704,1,STAR,-9.65e-05,51689,0.003869463,-0.005821918,81,0.49999999999999994,-0.8660254037844387,-0.9680464833036171,-0.25018403083731106,-0.017145170675588517,0.0,0.0,1.0,0.06581058231778834,-0.27230135629926344,-0.7921086568200725,-0.35505864828599676,-1.385129336922007,-0.5614372952323071,-0.20744125583637057,-0.6192533954015622
1237648703517360304,215.3719786,-0.797497,18.77066,17.4621,16.75475,16.31569,16.04499,752,2,480,0.8272228,1,GALAXY,0.08425979,51609,0.000378395,-0.005534132,1,1.0,6.123233995736766e-17,-0.815332018364082,-0.5788263774363911,-0.0139184989929551,1.0,0.0,0.0,-0.08065297457358886,0.10380598693964306,-0.8420790501473897,0.7336687706999448,0.08520711878796479,-0.08289721061685278,-0.860346640862151,-0.5260894849525423
1237648704053706887,214.1708152,-0.301572203,19.27609,17.96388,17.25047,16.87071,16.59677,752,3,472,0.8060786,1,GALAXY,0.07824092,51615,0.004523429,-0.000118148,7,1.0,6.123233995736766e-17,-0.8273553153315397,-0.5616542341828155,-0.005263403572162273,1.0,0.0,0.0,0.3891297133733093,0.6315257528655369,-0.8383312706478409,0.7336687706999448,0.08520711878796479,-0.12057294454580327,-0.8262311809443479,-0.27619032754822415
